product_name,product_name_da,brands,categories_tags,main_category,main_category_en,labels_tags,languages_tags,countries_tags,lc,ecoscore_grade,environmental_score_grade,ecoscore_score
Rugbrøds boller,<NA>,Kohberg,"en:plant-based-foods-and-beverages,en:plant-based-foods,en:cereals-and-potatoes,en:breads,da:brotchen,da:roggenbrotchen",da:roggenbrotchen,da:roggenbrotchen,"en:vegetarian,en:vegan,da:dansk-vegetarisk-forening,da:dansk-vegetarisk-forening-vegansk,en:keyhole,en:fødevarestyrelsen-vaelg-fuldkorn-først",<na>,en:denmark,<na>,,unknown,
Swartz Brot,<NA>,Kohberg bakery group,"en:plant-based-foods-and-beverages,en:plant-based-foods,en:cereals-and-potatoes,en:breads,da:rugbrød",da:rugbrød,Danish style rye breads,,<na>,en:denmark,<na>,,unknown,
Fuldkorns Krydderboller,<NA>,Møllens Brød,,,,,<na>,en:denmark,<na>,,unknown,
Kohberg,<NA>,Herkules Rye Bread,,,,,<na>,en:denmark,<na>,,unknown,
Mørk Rugbrød,<NA>,Møllens Brød,,,,,<na>,en:denmark,<na>,,unknown,
Rutebiler,<NA>,,,,,,<na>,en:denmark,<na>,,unknown,
Wienerpölser,<NA>,Gøl,,,,,<na>,en:denmark,<na>,,unknown,
Vitlökssalami,<NA>,Gøl,,,,,<na>,en:denmark,<na>,,unknown,
Dansk Sukker,<NA>,Dan Sugar,"en:sweeteners,en:sugars",en:sugars,Sugars,,<na>,en:denmark,<na>,,a,
Brun Farin,<NA>,Dan Sukker,"en:sweeteners,en:sugars,en:brown-sugars",en:brown-sugars,Brown sugars,en:no-gluten,<na>,"en:denmark,en:france,en:germany,en:norway,en:sweden",<na>,,c,
Dansk flormelis,<NA>,Dansukker,"en:sweeteners,en:sugars,da:flormelis",da:flormelis,da:flormelis,,<na>,en:denmark,<na>,,a-plus,
Sukker,<NA>,,"en:sweeteners,en:sugars",en:sugars,Sugars,,<na>,en:denmark,<na>,,a-plus,
Sukker Fra DanSukker,<NA>,DanSukker,,,,,<na>,en:denmark,<na>,,unknown,
Panecillos mantequilla,<NA>,,,,,,<na>,en:denmark,<na>,,unknown,
Koldtvands Rejer,<NA>,Salling,,,,"en:sustainable,en:sustainable-fishery,en:sustainable-seafood-msc",<na>,en:denmark,<na>,,unknown,
Vannameirejer,<NA>,Salling,,,,,<na>,en:denmark,<na>,,unknown,
Scandinavian shrimps,<NA>,Launis,,,,"en:sustainable,en:sustainable-fishery,en:sustainable-seafood-msc",<na>,en:denmark,<na>,,unknown,
Laksepaté (Optimized),<NA>,Lykkeberg,"en:meats-and-their-products,en:prepared-meats,fr:charcuteries-diverses,en:pate",en:pate,Pâté,en:no-gluten,<na>,en:denmark,<na>,,unknown,
Laksefrikadeller,<NA>,deli,,,,,<na>,en:denmark,<na>,,unknown,
Karry sild,<NA>,Bådsmand,,,,,<na>,en:denmark,<na>,,unknown,
bådsmand marinerede sild i bidder,<NA>,,"da:marinerede-sild-i-bidder,da:sild",da:sild,da:sild,"en:sustainable,en:sustainable-fishery,en:sustainable-seafood-msc",<na>,en:denmark,<na>,,unknown,
"Fiskefrikadeller med løg, gulerødder og persille",<NA>,Minimum,"en:seafood,en:fishes-and-their-products,en:fish-preparations,en:fish-patties",en:fish-patties,Fish patties,"en:sustainable,en:sustainable-fishery,en:keyhole,en:sustainable-seafood-msc",<na>,en:denmark,<na>,,unknown,
Rosquitas,<NA>,,,,,,<na>,en:denmark,<na>,,unknown,
Boller i karry,<NA>,Steff Houæberg,,,,,<na>,en:denmark,<na>,,unknown,
Risalamande,<NA>,Steff Houlberg,,,,,<na>,en:denmark,<na>,,unknown,
POMMES FRITES,<NA>,,,,,,<na>,en:denmark,<na>,,unknown,
Thousand Island,<NA>,Graasten,,,,,<na>,en:denmark,<na>,,unknown,
Hvidløgsdressing,<NA>,Graasten,,,,,<na>,en:denmark,<na>,,unknown,
Italiensk Salat,<NA>,Mayo,,,,,<na>,en:denmark,<na>,,unknown,
Karry Salat,<NA>,Mayo,"en:plant-based-foods-and-beverages,en:plant-based-foods,en:fruits-and-vegetables-based-foods,en:vegetables-based-foods,en:meals,en:vegetables,en:prepared-salads,en:leaf-vegetables,en:lettuces",en:lettuces,Lettuces,da:frilandsæg,<na>,en:denmark,<na>,,a,
Hønse Salat,<NA>,Mayo,,,,,<na>,en:denmark,<na>,,unknown,
Sommersalat,<NA>,Mayo,,,,,<na>,en:denmark,<na>,,unknown,
Kartoffelsalat M. Purløg Og Dild,<NA>,Graasten,"en:meals,en:prepared-salads,en:potato-dishes,en:potato-salads",en:potato-salads,Potato salads,,<na>,en:denmark,<na>,,d,
Thousand Island Dressing,<NA>,Graasten,"en:condiments,en:sauces,en:salad-dressings,en:thousand-island-dressing",en:thousand-island-dressing,Thousand island dressing,,<na>,en:denmark,<na>,,d,
Burger dressing,<NA>,Graasten,,,,,<na>,en:denmark,<na>,,unknown,
Letrøget Graver ASC Laks,<NA>,Hyttels,,,,,<na>,en:denmark,<na>,,unknown,
Salmone affumicato sockeye,<NA>,Hyttels originale,,,,,<na>,en:denmark,<na>,,unknown,
"Hvedemel, økologisk",<NA>,Coop 365,"en:plant-based-foods-and-beverages,en:plant-based-foods,en:cereals-and-potatoes,en:cereals-and-their-products,en:flours,en:cereal-flours,en:wheat-flours",en:wheat-flours,Wheat flours,"en:organic,en:eu-organic,en:de-oko-001",<na>,en:denmark,<na>,,a-plus,
Hvede Toast,<NA>,Coop,"en:plant-based-foods-and-beverages,en:plant-based-foods,en:cereals-and-potatoes,en:breads",en:breads,Breads,,<na>,en:denmark,<na>,,unknown,
Grønne Økologiske Stenfri Vindruer,<NA>,Øko,"en:plant-based-foods-and-beverages,en:plant-based-foods,en:fruits-and-vegetables-based-foods,en:fruits-based-foods,en:fruits,da:vindruer,da:økologisk-frugt",da:økologisk-frugt,da:økologisk-frugt,"en:organic,en:eu-organic,en:it-bio-014",<na>,en:denmark,<na>,,unknown,
Ekstra Store Grønlandske Rejer,<NA>,Rema1000,,,,,<na>,en:denmark,<na>,,unknown,
Grønlandske Rejer,<NA>,Princip,,,,,<na>,en:denmark,<na>,,unknown,
Grønlandske Rejer,<NA>,Salling,da:rejer,da:rejer,da:rejer,,<na>,en:denmark,<na>,,unknown,
Rejer Fra Grønland,<NA>,Polar Seafood,,,,,<na>,en:denmark,<na>,,unknown,
Grønlandske Rejer,<NA>,Navito,,,,,<na>,en:denmark,<na>,,unknown,
Surimi i lage,<NA>,Vores,,,,"en:sustainable,en:sustainable-fishery,en:sustainable-seafood-msc",<na>,en:denmark,<na>,,unknown,
Grønlandske Rejet Ekstra Store,<NA>,Princip,,,,"en:sustainable,en:sustainable-fishery,en:sustainable-seafood-msc",<na>,en:denmark,<na>,,unknown,
Grønlandske Rejer,<NA>,Polar Seafood,,,,,<na>,en:denmark,<na>,,unknown,
Krebsehaler I Lage,<NA>,Salling,,,,,<na>,en:denmark,<na>,,unknown,
Surimi,<NA>,Salling,,,,,<na>,en:denmark,<na>,,unknown,
Rejer fra Grønland,<NA>,Polar seafood,,,,,<na>,en:denmark,<na>,,unknown,
Rejer i lage,<NA>,Polar,,,,"en:sustainable,en:sustainable-fishery,en:sustainable-seafood-msc",<na>,en:denmark,<na>,,unknown,
Grønlandske Rejer,<NA>,Salling,,,,,<na>,en:denmark,<na>,,unknown,
Ekstra Store Rejer,<NA>,agustsons,,,,"en:sustainable,en:sustainable-fishery,en:sustainable-seafood-msc",<na>,en:denmark,<na>,,unknown,
Nestea Mango & Pineapple,<NA>,Nestea,,,,,<na>,en:denmark,<na>,,unknown,
Vitaminwater power-c,<NA>,Glaceau,,,,,<na>,en:denmark,<na>,,unknown,
rød saftevand,<NA>,,,,,,<na>,en:denmark,<na>,,unknown,
Dansk honning,<NA>,Danmarks Biavlerforening,"en:breakfasts,en:spreads,en:sweet-spreads,en:bee-products,en:farming-products,en:sweeteners,en:honeys",en:honeys,Honeys,,<na>,en:denmark,<na>,,a-plus,
Dansk Honning Avlet I Egen Bigård,<NA>,Dan Pedersen,,,,,<na>,en:denmark,<na>,,unknown,
Dansk Honning,<NA>,Danmarks Biavlerforening,,,,,<na>,en:denmark,<na>,,unknown,
Dansk Honning,<NA>,Avlet I Egen Bigård,,,,,<na>,en:denmark,<na>,,unknown,
Danish Honey,<NA>,Bredstrupvej 24,"en:breakfasts,en:spreads,en:sweet-spreads,en:bee-products,en:farming-products,en:sweeteners,en:honeys",en:honeys,Honeys,,<na>,en:denmark,<na>,,b,
Dansk Honning,<NA>,Danmarks biavlerforening,,,,,<na>,en:denmark,<na>,,unknown,
Minimælk,<NA>,,,,,,<na>,en:denmark,<na>,,unknown,
Røget laks i skiver,<NA>,,,,,,<na>,en:denmark,<na>,,unknown,
Varmrøget laks med hvidløg,<NA>,Capella,,,,,<na>,en:denmark,<na>,,unknown,
Marinerede Sild,<NA>,Skipper Sild,,,,,<na>,en:denmark,<na>,,unknown,
Herring,<NA>,Hirtshals,,,,,<na>,en:denmark,<na>,,unknown,
Karrysild,<NA>,Irma's,,,,,<na>,en:denmark,<na>,,unknown,
Skippersild,<NA>,Hirtshals Seafood,,,,,<na>,en:denmark,<na>,,unknown,
Marinerede Skipper Sild,<NA>,Hirtshals Seafood,,,,"en:sustainable,en:sustainable-fishery,en:sustainable-seafood-msc",<na>,en:denmark,<na>,,unknown,
Skippersild,<NA>,,,,,"en:sustainable,en:sustainable-fishery,en:sustainable-seafood-msc",<na>,en:denmark,<na>,,unknown,
Benfri sild,<NA>,,"en:seafood,en:fishes-and-their-products,en:canned-foods,en:fishes,en:fatty-fishes,en:canned-fishes,en:herring,en:canned-herrings",en:canned-herrings,Canned herrings,da:fao-27,<na>,en:denmark,<na>,,c,
Fried Pickeled Herring,<NA>,Havens Fiskehus,,,,,<na>,en:denmark,<na>,,unknown,
Koldtvandtsrejer,<NA>,Skipper Rejer,,,,,<na>,en:denmark,<na>,,unknown,
Varmrøget Makrelfilet,<NA>,Hirtshals Røgeri,,,,,<na>,en:denmark,<na>,,unknown,
Makrel Med Peber,<NA>,Salling,,,,,<na>,en:denmark,<na>,,unknown,
1664,<NA>,Kronenbourg,"en:beverages,en:alcoholic-beverages,en:beers",en:beers,Beers,,<na>,en:denmark,<na>,,d,
Kaffe,<NA>,Arabica,,,,,<na>,en:denmark,<na>,,unknown,
choko drink,<NA>,Frellsen,,,,,<na>,en:denmark,<na>,,unknown,
Slagter Bolcher,<NA>,OK snacks a/s,"en:meats-and-their-products,en:meats",en:meats,Meats,,<na>,en:denmark,<na>,,unknown,
Flæskesvær,<NA>,Øffer,,,,,<na>,en:denmark,<na>,,unknown,
Kettle Cooked Jalapeños chips,<NA>,Ok snacks,"en:snacks,en:salty-snacks,en:appetizers,en:chips-and-fries,en:crisps",en:crisps,Crisps,,<na>,en:denmark,<na>,,unknown,
Krydret Bacon Snacks,<NA>,AaB,,,,,<na>,en:denmark,<na>,,unknown,
Jalapeños & Cheese,<NA>,OK snacks,,,,,<na>,en:denmark,<na>,,unknown,
Bacon & Cheese Snack,<NA>,OK Snacks A/S,,,,,<na>,en:denmark,<na>,,unknown,
Gammeldags Flæskesvær (Hot Chili),<NA>,Øffer,,,,,<na>,en:denmark,<na>,,unknown,
Gammeldaws Flæskesvær Hoy Chili,<NA>,Øffer,,,,,<na>,en:denmark,<na>,,unknown,
Chips Sour Cream and Onions,<NA>,Kettle Cooked Chips,"en:plant-based-foods-and-beverages,en:plant-based-foods,en:snacks,en:cereals-and-potatoes,en:salty-snacks,en:appetizers,en:chips-and-fries,en:crisps,en:potato-crisps",en:potato-crisps,Potato crisps,,<na>,en:denmark,<na>,,b,
